Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
TRUE,mp-1094120,Nb,Triclinic,P1,1,12,0.18974828500000000,0.18974828500000200,FALSE,226.83961495276400,8.161255619756380,0.0,FALSE,TRUE,NM,0.0001198
TRUE,mp-1120447,Si,Triclinic,P1,1,8,0.37250966749999900,0.37250966749999900,FALSE,163.06526777122900,2.288019789495500,0.0,FALSE,TRUE,NM,0.0
TRUE,mp-1179802,Rb,Triclinic,P1,1,8,0.053649282500000000,0.053649282500000000,FALSE,744.4945979508940,1.525035869723980,0.0,FALSE,TRUE,NM,0.005090499999999
TRUE,mp-1180008,O2,Triclinic,P1,1,12,0.419853780833332,0.419853780833333,FALSE,199.45006150558900,1.598452978651930,1.277300000000000,FALSE,FALSE,NM,0.0
TRUE,mp-1180064,O2,Triclinic,P1,1,10,0.38701357199999900,0.38701357200000000,FALSE,159.2695518855730,1.6680921386184,0.042300000000000000,FALSE,FALSE,FM,3.9993086
TRUE,mp-1197903,C,Triclinic,P1,1,80,1.4104997176250000,1.4104997176250000,FALSE,1547.5694249833700,1.030996671050250,0.07970000000000000,FALSE,FALSE,NM,0.0054643
TRUE,mp-1244913,C,Triclinic,P1,1,100,0.9942529476999990,0.9942529476999990,FALSE,1190.3531919217500,1.675488981132890,0.10600000000000000,TRUE,FALSE,NM,2.0000505
TRUE,mp-1244924,Ti,Triclinic,P1,1,100,0.183286863166667,0.183286863166667,FALSE,1762.7067218166100,4.509259680988030,0.0,FALSE,TRUE,NM,1.9910987
TRUE,mp-1244933,Si,Triclinic,P1,1,100,0.34929145859999900,0.34929145859999900,FALSE,1793.7649376717600,2.599954373928590,0.0,FALSE,TRUE,NM,1E-07
TRUE,mp-1244953,Al,Triclinic,P1,1,100,0.09572362820000000,0.09572362819999900,FALSE,1768.8252505357100,2.532974860501710,0.0,FALSE,TRUE,NM,0.0
TRUE,mp-1244964,C,Triclinic,P1,1,100,0.9345966745999980,0.9345966745999980,FALSE,1126.924922787450,1.769792837474970,0.0724,FALSE,FALSE,FM,2.0008597
TRUE,mp-1244971,Si,Triclinic,P1,1,100,0.31675151760000000,0.31675151759999900,FALSE,1921.0737732472700,2.427656376577440,0.0033000000000000000,FALSE,FALSE,NM,0.0
TRUE,mp-1244987,Zn,Triclinic,P1,1,100,0.058374756800001,0.058374756800000000,FALSE,1613.043594907880,6.7334943798243900,0.0,FALSE,TRUE,NM,0.0
TRUE,mp-1244990,Si,Triclinic,P1,1,100,0.36627406770000000,0.36627406769999900,FALSE,1750.9728471941300,2.6634947554857000,0.0,FALSE,TRUE,NM,6E-06
